wardpc,wardname,province,district,alt_name,districtpc,provincepc,integrity
192106,6,Harare,Harare,,1921,19,Boundary adjusted
192110,10,Harare,Harare,,1921,19,Old ward
192104,4,Harare,Harare,,1921,19,Boundary adjusted
192119,19,Harare,Harare,,1921,19,Old ward
192306,6,Harare,Epworth,,1923,19,Boundary adjusted
192301,1,Harare,Epworth,,1923,19,Old ward
192205,5,Harare,Chitungwiza,,1922,19,Boundary adjusted
192203,3,Harare,Chitungwiza,,1922,19,Old ward
192202,2,Harare,Chitungwiza,,1922,19,Boundary adjusted
192201,1,Harare,Chitungwiza,,1922,19,Boundary adjusted
192208,8,Harare,Chitungwiza,,1922,19,Old ward
192210,10,Harare,Chitungwiza,,1922,19,Old ward
192211,11,Harare,Chitungwiza,,1922,19,Old ward
192213,13,Harare,Chitungwiza,,1922,19,Old ward
192214,14,Harare,Chitungwiza,,1922,19,Old ward
192215,15,Harare,Chitungwiza,,1922,19,Old ward
192216,16,Harare,Chitungwiza,,1922,19,Old ward
192219,19,Harare,Chitungwiza,,1922,19,Old ward
192220,20,Harare,Chitungwiza,,1922,19,Old ward
192217,17,Harare,Chitungwiza,,1922,19,Old ward
110730,30,Manicaland,Nyanga,,1107,11,Old ward
130620,20,Mashonaland East,Murehwa,,1306,13,Old ward
130729,29,Mashonaland East,Mutoko,,1307,13,Old ward
110435,35,Manicaland,Makoni,,1104,11,Old ward
110706,6,Manicaland,Nyanga,,1107,11,Old ward
110710,10,Manicaland,Nyanga,,1107,11,Old ward
110707,7,Manicaland,Nyanga,,1107,11,Old ward
110709,9,Manicaland,Nyanga,,1107,11,Old ward
110436,36,Manicaland,Makoni,,1104,11,New ward
110711,11,Manicaland,Nyanga,,1107,11,Old ward
110712,12,Manicaland,Nyanga,,1107,11,Old ward
110708,8,Manicaland,Nyanga,,1107,11,Old ward
110720,20,Manicaland,Nyanga,,1107,11,Old ward
110716,16,Manicaland,Nyanga,,1107,11,Old ward
110406,6,Manicaland,Makoni,,1104,11,Old ward
110722,22,Manicaland,Nyanga,,1107,11,Old ward
110727,27,Manicaland,Nyanga,,1107,11,Old ward
110728,28,Manicaland,Nyanga,,1107,11,Old ward
110604,4,Manicaland,Mutasa,,1106,11,Old ward
110606,6,Manicaland,Mutasa,,1106,11,Old ward
110605,5,Manicaland,Mutasa,,1106,11,Old ward
110630,30,Manicaland,Mutasa,,1106,11,New ward
110731,31,Manicaland,Nyanga,,1107,11,Old ward
110410,10,Manicaland,Makoni,,1104,11,Old ward
110628,28,Manicaland,Mutasa,,1106,11,New ward
110721,21,Manicaland,Nyanga,,1107,11,Old ward
110631,31,Manicaland,Mutasa,,1106,11,New ward
110725,25,Manicaland,Nyanga,,1107,11,Old ward
110607,7,Manicaland,Mutasa,,1106,11,Old ward
110729,29,Manicaland,Nyanga,,1107,11,Old ward
110724,24,Manicaland,Nyanga,,1107,11,Old ward
140407,7,Mashonaland West,Kariba,,1404,14,Old ward
140406,6,Mashonaland West,Kariba,,1404,14,Old ward
170229,29,Midlands,Gokwe North,,1702,17,Old ward
140404,4,Mashonaland West,Kariba,,1404,14,Old ward
170218,18,Midlands,Gokwe North,,1702,17,Old ward
110602,2,Manicaland,Mutasa,,1106,11,Old ward
110601,1,Manicaland,Mutasa,,1106,11,Old ward
110603,3,Manicaland,Mutasa,,1106,11,Old ward
110629,29,Manicaland,Mutasa,,1106,11,New ward
140226,26,Mashonaland West,Hurungwe,,1402,14,New ward
140634,34,Mashonaland West,Zvimba,,1406,14,New ward
140632,32,Mashonaland West,Zvimba,,1406,14,New ward
142607,7,Mashonaland West,Karoi,,1426,14,Old ward
142605,5,Mashonaland West,Karoi,,1426,14,Old ward
142603,3,Mashonaland West,Karoi,,1426,14,Old ward
142602,2,Mashonaland West,Karoi,,1426,14,Old ward
142606,6,Mashonaland West,Karoi,,1426,14,Old ward
142604,4,Mashonaland West,Karoi,,1426,14,Old ward
142601,1,Mashonaland West,Karoi,,1426,14,Old ward
140223,23,Mashonaland West,Hurungwe,,1402,14,New ward
140216,16,Mashonaland West,Hurungwe,,1402,14,Old ward
170220,20,Midlands,Gokwe North,,1702,17,Old ward
170223,23,Midlands,Gokwe North,,1702,17,Old ward
170221,21,Midlands,Gokwe North,,1702,17,Old ward
140224,24,Mashonaland West,Hurungwe,,1402,14,New ward
140225,25,Mashonaland West,Hurungwe,,1402,14,New ward
140409,9,Mashonaland West,Kariba,,1404,14,Old ward
140402,2,Mashonaland West,Kariba,,1404,14,Old ward
140505,5,Mashonaland West,Makonde,,1405,14,Old ward
140507,7,Mashonaland West,Makonde,,1405,14,Old ward
140614,14,Mashonaland West,Zvimba,,1406,14,Old ward
140613,13,Mashonaland West,Zvimba,,1406,14,Old ward
140616,16,Mashonaland West,Zvimba,,1406,14,Old ward
120315,15,Mashonaland Central,Guruve,,1203,12,Old ward
140617,17,Mashonaland West,Zvimba,,1406,14,Old ward
140623,23,Mashonaland West,Zvimba,,1406,14,Old ward
140622,22,Mashonaland West,Zvimba,,1406,14,Old ward
140509,9,Mashonaland West,Makonde,,1405,14,Old ward
142115,15,Mashonaland West,Chinhoyi,,1421,14,Old ward
140630,30,Mashonaland West,Zvimba,,1406,14,New ward
140618,18,Mashonaland West,Zvimba,,1406,14,Old ward
120307,7,Mashonaland Central,Guruve,,1203,12,Old ward
120322,22,Mashonaland Central,Guruve,,1203,12,Old ward
142111,11,Mashonaland West,Chinhoyi,,1421,14,Old ward
142103,3,Mashonaland West,Chinhoyi,,1421,14,Old ward
142113,13,Mashonaland West,Chinhoyi,,1421,14,Old ward
142105,5,Mashonaland West,Chinhoyi,,1421,14,Old ward
142114,14,Mashonaland West,Chinhoyi,,1421,14,Old ward
142109,9,Mashonaland West,Chinhoyi,,1421,14,Old ward
140506,6,Mashonaland West,Makonde,,1405,14,Old ward
142110,10,Mashonaland West,Chinhoyi,,1421,14,Old ward
142108,8,Mashonaland West,Chinhoyi,,1421,14,Old ward
140631,31,Mashonaland West,Zvimba,,1406,14,New ward
142112,12,Mashonaland West,Chinhoyi,,1421,14,Old ward
142104,4,Mashonaland West,Chinhoyi,,1421,14,Old ward
142107,7,Mashonaland West,Chinhoyi,,1421,14,Old ward
142106,6,Mashonaland West,Chinhoyi,,1421,14,Old ward
140513,13,Mashonaland West,Makonde,,1405,14,New ward
140504,4,Mashonaland West,Makonde,,1405,14,Old ward
140511,11,Mashonaland West,Makonde,,1405,14,New ward
130910,10,Mashonaland East,Uzumba Maramba Pfungwe,,1309,13,Old ward
130913,13,Mashonaland East,Uzumba Maramba Pfungwe,,1309,13,Old ward
